
9af0 泿
9af3 渒
9afb 巊
9b41 𣵿
9b46 e
9b46 e ͯ
9b47 厷
9b4a 鲬
9b4b 墢
9b4c 熷
9bcd ǖ
9bce ǘ
9bcf ǚ
9bd0 ǜ
9bd4 ề
9cda å
9cdb e̊
9cdc i̊
9cdd o̊
9cde ů
9ce0 ā
9ce1 á
9ce2 ǎ
9ce3 à
9ce4 g
c6c7 匸
c6e3 ー
c6e8 あ
c6eb ぅ
c6ec う
c6f0 お
c6f1 か
c6f2 が
c6f5 く
c6f9 こ
c6fa ご
c6fb さ
c6fd し
c6fe じ
c740 す
c742 せ
c746 た
c747 だ
c748 ち
c74a っ
c74d て
c74f と
c750 ど
c751 な
c755 の
c757 ば
c758 ぱ
c75a び
c75e ぷ
c766 み
c767 む
c76a ゃ
c76f よ
c770 ら
c771 り
c774 ろ
c77a ん
c7b3 シ
c7c2 テ
c7c4 ト
c7cc バ
c7d1 フ
c7e3 ョ
c7e7 ル
c7e9 ロ
c7ef ン
f9d6 碁
f9d8 裏
f9d9 墻
f9da 恒
f9dc 嫺
fa44 愗
fa49 貛
fa4b 繮
fa4c 䍡
fa4d 羓
fa4f 蒭
fa51 溂
fa52 䬪
fa53 礴
fa5b 迹
fa5c 鉢
fa5d 愽
fa60 覇
fa65 栢
fa68 骲
fa6f 僃
fa70 鞴
fa71 襃
fa72 緥
fa74 勹
fa78 癶
faa1 螌
faa2 坂
faa7 犇
faa8 夲
faa9 逩
faad 竝
faae 蜯
fab4 笔
fab8 獘
fab9 䟆
fabc 躃
fabd 鼈
fabf 飇
fac0 飈
fac1 边
fac3 辡
fac5 禀
faca 浜
fad2 髩
fad5 冫
fada 昞
fae1 㕷
fae3 递
fae4 痆
fae5 驁
fae7 饊
fae8 烟
faea 鴂
faec 噍
faef 粃
faf0 佊
faf1 吡
faf3 骶
faf4 戹
faf5 饆
faf6 韠
faf7 煏
faf8 鈎
fafa 覩
fafb 饠
fb41 穅
fb44 腭
fb45 髴
fb46 莂
fb47 𢠳
fb48 姙
fb4a 屓
fb4f 倈
fb52 鯿
fb54 儛
fb59 妬
fb5f 筢
fb61 尀
fb63 駊
fb68 阫
fb69 斾
fb6b 麅
fb6c 疱
fb6d 礮
fb74 曕
fb75 靭
fb77 牀
fb78 腈
fb7b 欛
fba6 鸊
fba8 撆
fba9 飃
fbaf 𢓳
fbb5 幈
fbb7 甁
fbbd 凭
fbbf 攴
fbc1 幞
fbc5 蟇
fbc8 饝
fbc9 袜
fbcc 脉
fbd5 酶
fbda 猫
fbe1 鞪
fbe2 畮
fbe7 蝱
fbeb 醿
fbf4 冖
fbf8 䄙
fbfd 宀
fc40 勔
fc41 腼
fc45 珉
fc48 緍
fc49 𪰋
fc4b 鰵
fc51 獏
fc58 珐
fc5a 䬠
fc5d 飜
fc60 飰
fc61 餴
fc63 坆
fc64 旊
fc66 峯
fc67 舚
fc6b 旉
fc6e 鬴
fc74 媍
fc75 垡
fc76 袴
fc77 丿
fc79 疴
fc7e 栐
fca1 癯
fca7 虬
fca8 搭
fca9 嘚
fcab 惪
fcac 瑇
fcad 隶
fcb6 鬭
fcb7 躭
fcba 担
fcbd 𤺺
fcc3 銱
fcc4 乣
fcc8 攧
fccc 矴
fccf 凟
fcd0 匵
fcd4 軃
fcd8 噔
fcdb 櫈
fcdc 隥
fce7 氎
fce9 飿
fceb 媠
fcef 煅
fcf4 峝
fcf7 墖
fcf8 狧
fcf9 㒓
fcfd 忲
fcfe 肽
fd40 謟
fd41 縧
fd44 鼗
fd46 鞉
fd48 鍮
fd49 亠
fd4f 壜
fd51 䗊
fd53 餹
fd55 幐
fd57 嗁
fd58 蹏
fd5b 鬀
fd5c 𩮜
fd5e 逷
fd60 髢
fd63 岹
fd65 䩦
fd6e 舚
fd6f 㥏
fd71 郄
fd74 鉳
fd75 𦡯
fd77 鞓
fd79 疃
fd7c 碯
fd7d 憹
fda1 硇
fda7 𠜶
fda8 閙
fdad 儞
fdaf 籋
fdb2 孼
fdb4 傉
fdb5 掿
fdb7 埝
fdb8 泪
fdb9 哰
fdbc 靁
fdbd 攂
fdbe 黁
fdc0 秊
fdc1 㛂
fdc4 稬
fdc9 鮎
fdca 鐧
fdcc 䗶
fdce 蝲
fdd3 嫏
fdd7 涖
fddd 欖
fde0 擥
fde3 孏
fde9 𣓨
fdec 勑
fdf0 㶟
fdfc 瘻
fe41 甯
fe44 鬡
fe47 罱
fe4f 寗
fe52 ㊀
fe53 ㊁
fe54 ㊂
fe55 ㊃
fe56 ㊄
fe57 ㊅
fe58 ㊆
fe59 ➊
fe5a ➋
fe5b ➌
fe5c ➍
fe5d ➎
fe5e ➏
fe5f ➐
fe60 ➑
fe61 ➒
fe62 ➓
fe63 ⓫
fe64 ⓬
fe65 ⓭
fe66 ⓮
fe67 ⓯
fe68 ā
fe69 á
fe6a ǎ
fe6b à
fe6c ē
fe6d é
fe6e ě
fe6f è
fe70 ī
fe71 í
fe72 ǐ
fe73 ì
fe74 ō
fe75 ó
fe76 ǒ
fe77 ò
fe78 r̄
fe79 ŕ
fe7a ř
fe7b r̀
fe7c ū
fe7d ú
fe7e ǔ
fea1 ù
fea2 z̄
fea3 ź
fea4 ž
fea5 z̀
feaf 疁
feb4 臁
feb6 匳
febf 麐
fec0 澟
fec3 鉕
fec4 鍅
fec7 凉
fecc 㥄
fed3 名⃞
fed4 動⃞
fed5 形⃞
fed6 副⃞
fed7 助⃞
fed8 介⃞
fed9 嘆⃞
feda 連⃞
fedb 鮟
fede 顋
fee0 代⃞
feed 倮
feee 躶
feef 勠
fef3 鑥
fef4 攞
fef7 壠
fefc 驘
